id,date,base_price,processing_fee,high_demand_fee,total_price,trip_duration
9831,2021-12-27 16:25:31,468.77,29.3,117.19,461.44,1110
9832,2021-12-27 18:49:36,470.56,30.59,141.17,481.74,1159
