id,date,base_price,processing_fee,high_demand_fee,total_price,trip_duration
8947,2021-09-18 09:26:31,841.76,54.29,244.11,1183.75,2114
8951,2021-09-18 20:28:58,331.9,21.41,96.25,449.56,786
8946,2021-09-18 02:17:47,866.7,45.07,34.67,990.03,2110
