id,date,base_price,processing_fee,high_demand_fee,total_price,trip_duration
8624,2021-08-07 01:44:28,854.75,47.87,102.57,1005.19,1941
8627,2021-08-07 06:59:45,828.6,45.99,91.15,1009.33,1821
