id,date,base_price,processing_fee,high_demand_fee,total_price,trip_duration
9685,2021-12-08 05:12:05,864.83,59.67,328.64,1253.14,1865
9687,2021-12-08 08:23:47,1225.61,79.05,355.43,1660.09,1894
