id,date,base_price,processing_fee,high_demand_fee,total_price,trip_duration
11097,2022-06-10 01:12:11,999.23,64.45,289.78,1353.46,2347
11098,2022-06-10 06:03:27,1231.33,96.04,689.54,2016.91,1884
