id,date,base_price,processing_fee,high_demand_fee,total_price,trip_duration
9000,2021-09-25 05:24:02,552.05,30.92,66.25,649.22,1295
9001,2021-09-25 08:34:29,507.18,32.71,147.08,686.97,1591
