id,date,base_price,processing_fee,high_demand_fee,total_price,trip_duration
9147,2021-10-11 07:08:35,392.64,26.9,145.28,564.82,522
9146,2021-10-11 04:51:23,617.49,42.92,240.82,901.23,1252
9148,2021-10-11 11:37:05,1069.55,72.73,385.04,1570.91,2092
