id,date,base_price,processing_fee,high_demand_fee,total_price,trip_duration
8585,2021-08-03 18:05:41,782.52,43.82,93.9,920.24,2809
8584,2021-08-03 15:06:37,778.78,38.94,0.0,817.72,2058
