id,date,base_price,processing_fee,high_demand_fee,total_price,trip_duration
10524,2022-04-02 03:20:50,1375.39,74.96,123.79,1637.35,2610
10525,2022-04-02 13:08:27,1382.42,92.62,470.02,2008.27,2032
